Tempo (s) 4000000
num_threads, 1, 2, 3, 4, 5, 6, 7, 8
run 1, 0.703247, 1.014390, 1.037762, 1.207279, 1.493158, 1.675728, 1.845270, 2.963051
run 2, 0.764365, 0.804253, 1.015875, 1.199470, 1.485532, 1.627146, 1.759273, 2.939251
run 3, 0.696188, 0.819520, 0.934403, 1.218105, 1.482855, 1.622246, 1.762627, 2.935734
run 4, 0.696949, 1.368009, 1.018437, 1.242185, 1.498117, 1.618616, 1.755924, 2.944101
run 5, 0.703241, 0.837368, 0.931554, 1.266151, 1.483224, 1.619253, 1.763797, 2.937147
run 6, 0.703867, 0.953289, 1.177805, 1.268722, 1.650100, 1.749562, 1.763829, 2.942099
run 7, 0.693370, 1.181493, 1.298517, 1.216433, 1.555196, 1.694334, 1.758705, 2.942239
run 8, 0.711779, 0.882106, 1.279718, 1.285790, 1.481812, 1.622464, 1.764693, 2.939053
run 9, 0.699602, 0.992078, 1.198712, 1.233578, 1.477239, 1.678754, 1.756920, 2.940605
run 10, 0.701503, 1.155261, 1.179081, 1.292405, 1.484244, 1.701983, 1.762229, 2.937941
