Vazao (MOPS) 2000000
num_threads, 1, 2, 3, 4, 5, 6, 7, 8
run 1, 0.29, 0.25, 0.22, 0.17, 0.13, 0.12, 0.11, 0.07
run 2, 0.29, 0.25, 0.20, 0.17, 0.12, 0.12, 0.11, 0.07
run 3, 0.25, 0.21, 0.20, 0.15, 0.12, 0.12, 0.11, 0.07
run 4, 0.29, 0.25, 0.20, 0.17, 0.13, 0.12, 0.11, 0.07
run 5, 0.29, 0.20, 0.18, 0.16, 0.13, 0.12, 0.11, 0.07
run 6, 0.29, 0.25, 0.21, 0.17, 0.13, 0.12, 0.11, 0.07
run 7, 0.26, 0.25, 0.20, 0.17, 0.13, 0.12, 0.11, 0.07
run 8, 0.29, 0.21, 0.18, 0.16, 0.14, 0.12, 0.11, 0.07
run 9, 0.28, 0.22, 0.21, 0.17, 0.13, 0.12, 0.11, 0.07
run 10, 0.28, 0.24, 0.15, 0.16, 0.13, 0.12, 0.11, 0.07
