Tempo (s) 8000000
num_threads, 1, 2, 3, 4, 5, 6, 7, 8
run 1, 0.019814, 0.010627, 0.007185, 0.006837, 0.005913, 0.004991, 0.005643, 0.004742
run 2, 0.019536, 0.010591, 0.007466, 0.005940, 0.005806, 0.005049, 0.004419, 0.004910
run 3, 0.019510, 0.010712, 0.007625, 0.007060, 0.005887, 0.005284, 0.004510, 0.003991
run 4, 0.020141, 0.010551, 0.007722, 0.005667, 0.005729, 0.004906, 0.004416, 0.004875
run 5, 0.020127, 0.010357, 0.007841, 0.006848, 0.005827, 0.005010, 0.004444, 0.004592
run 6, 0.020029, 0.010994, 0.007380, 0.006819, 0.005654, 0.004952, 0.004689, 0.005779
run 7, 0.019143, 0.010037, 0.007321, 0.006139, 0.005886, 0.005070, 0.004432, 0.005962
run 8, 0.020447, 0.010833, 0.007777, 0.005774, 0.005904, 0.005041, 0.004752, 0.005082
run 9, 0.019796, 0.010725, 0.007823, 0.005988, 0.005643, 0.005239, 0.004592, 0.005102
run 10, 0.019532, 0.010078, 0.007793, 0.006118, 0.005794, 0.004903, 0.005631, 0.005912
