Vazao (MOPS) 2000000
num_threads, 1, 2, 3, 4, 5, 6, 7, 8
run 1, 11.55, 21.46, 30.70, 30.54, 39.29, 46.02, 50.14, 43.37
run 2, 10.78, 20.90, 28.92, 36.41, 37.81, 34.02, 39.20, 44.96
run 3, 10.97, 21.01, 29.36, 37.50, 32.26, 47.62, 40.57, 39.25
run 4, 11.50, 21.45, 30.38, 38.64, 40.22, 44.89, 52.57, 45.74
run 5, 10.95, 22.04, 30.43, 38.19, 39.36, 45.09, 40.96, 52.00
run 6, 10.88, 20.73, 29.05, 37.58, 39.59, 46.10, 51.41, 52.42
run 7, 10.91, 20.81, 29.25, 36.80, 30.24, 36.25, 40.76, 45.55
run 8, 11.28, 21.58, 30.95, 38.48, 39.11, 44.62, 43.26, 43.91
run 9, 11.20, 21.46, 29.58, 37.60, 39.51, 45.39, 48.91, 45.52
run 10, 11.07, 20.82, 29.85, 33.08, 39.08, 44.55, 50.05, 44.70
