Tempo (s) input[16000000] p[1000]
num_threads, 1, 2, 3, 4, 5, 6, 7, 8
run 1, 13.592574, 7.190292, 5.081939, 4.048929, 4.231608, 4.054411, 4.223787, 3.764281
run 2, 13.981358, 7.184560, 5.047220, 4.000392, 4.329000, 4.718168, 4.066180, 3.750000
run 3, 13.728442, 7.424206, 5.108050, 4.021639, 4.697204, 4.321390, 3.788169, 3.950972
run 4, 13.877580, 7.227162, 5.061019, 4.007423, 4.447752, 4.048116, 3.900432, 3.680935
run 5, 13.795994, 7.209584, 5.159308, 4.042760, 4.321191, 3.865996, 3.903236, 4.314325
run 6, 13.799979, 7.292962, 5.126659, 4.436868, 4.540608, 3.813734, 3.716978, 3.648963
run 7, 13.650787, 7.331652, 5.096105, 4.038083, 4.346491, 4.226030, 4.027298, 3.722023
run 8, 13.763371, 7.239147, 5.097076, 4.308234, 4.812297, 4.438459, 4.417552, 4.408841
run 9, 15.310816, 7.292355, 5.032960, 4.456869, 4.176069, 3.844831, 3.732413, 3.639678
run 10, 13.640440, 7.181557, 5.049717, 4.002802, 4.229098, 3.815560, 3.780586, 3.861497

Vazao (MOPS) input[16000000] p[1000]
num_threads, 1, 2, 3, 4, 5, 6, 7, 8
run 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
run 2, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
run 3, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
run 4, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
run 5, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
run 6, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
run 7, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
run 8, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
run 9, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
run 10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
